Sample,Pathlength,Temperature,Absorbance
2,0.1,70.8,1.2018
2,0.1,71.3,1.2043
2,0.1,71.9,1.2043
2,0.1,72.3,1.2056
2,0.1,72.8,1.2074
2,0.1,73.3,1.2087
2,0.1,73.8,1.2106
2,0.1,74.4,1.2112
2,0.1,74.7,1.2131
2,0.1,75.3,1.2131
2,0.1,75.7,1.2151
2,0.1,76.2,1.2163
2,0.1,76.9,1.2176
2,0.1,77.2,1.2189
2,0.1,77.8,1.2196
2,0.1,78.2,1.2208
2,0.1,78.7,1.2221
2,0.1,79.2,1.2241
2,0.1,79.7,1.2254
2,0.1,80.3,1.2267
2,0.1,80.7,1.228
2,0.1,81.2,1.2294
2,0.1,81.7,1.2313
2,0.1,82.2,1.2327
2,0.1,82.8,1.234
2,0.1,83.2,1.236
2,0.1,83.8,1.2374
2,0.1,84.2,1.2394
2,0.1,84.7,1.2401
2,0.1,85.1,1.2407
2,0.1,85.9,1.2435
2,0.1,86.1,1.2442
2,0.1,86.7,1.2455
2,0.1,87.2,1.2476
2,0.1,87.6,1.249
2,0.1,88.2,1.2503
2,0.1,88.5,1.2524
2,0.1,89.1,1.2545
5,0.5,11.4,0.8723
5,0.5,11.5,0.8717
5,0.5,12.0,0.8711
5,0.5,13.5,0.8717
5,0.5,14.0,0.872
5,0.5,14.1,0.8723
5,0.5,14.5,0.872
5,0.5,14.4,0.872
5,0.5,14.4,0.8717
5,0.5,15.1,0.8723
5,0.5,15.5,0.8729
5,0.5,16.0,0.8732
5,0.5,16.5,0.8737
5,0.5,16.9,0.8737
5,0.5,17.4,0.8737
5,0.5,17.9,0.874
5,0.5,18.4,0.8743
5,0.5,18.9,0.8749
5,0.5,19.3,0.8752
5,0.5,19.8,0.8755
5,0.5,20.3,0.8761
5,0.5,20.8,0.8764
5,0.5,21.3,0.8772
5,0.5,21.8,0.8772
5,0.5,22.2,0.8778
5,0.5,22.8,0.8784
5,0.5,23.3,0.8787
5,0.5,23.7,0.879
5,0.5,24.2,0.8796
5,0.5,24.7,0.8805
5,0.5,25.2,0.8811
5,0.5,25.6,0.8814
5,0.5,26.0,0.8817
5,0.5,26.5,0.8829
5,0.5,27.0,0.8835
5,0.5,27.3,0.8838
5,0.5,27.9,0.8847
5,0.5,28.4,0.8856
5,0.5,28.9,0.8868
5,0.5,29.3,0.8874
5,0.5,29.8,0.8886
5,0.5,30.3,0.8895
5,0.5,30.8,0.8907
5,0.5,31.3,0.8919
5,0.5,31.7,0.8931
5,0.5,32.3,0.8946
5,0.5,32.7,0.8959
5,0.5,33.3,0.8977
5,0.5,33.7,0.8989
5,0.5,34.2,0.9011
5,0.5,34.7,0.9027
5,0.5,35.2,0.9048
5,0.5,35.7,0.907
5,0.5,36.2,0.9093
5,0.5,36.7,0.9112
5,0.5,37.2,0.914
5,0.5,37.6,0.9163
5,0.5,38.1,0.9195
5,0.5,38.6,0.9224
5,0.5,39.1,0.9254
5,0.5,39.6,0.9293
